Flight Number,Departure City,Arrival City,Duration,Price,Airline,Changes,Adult
FR5764,Brusel,Řím,2:05,3802 ,FR,přímý let,1
FR2983,Brusel,Řím,2:10,3827 ,FR,přímý let,1
FR7191,Vídeň,Řím,1:40,3827 ,FR,přímý let,1
FR7177,Vídeň,Řím,1:45,3827 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1179 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1179 ,FR,přímý let,1
FR696,Vídeň,Bukurešť,1:40,1304 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1304 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1454 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1454 ,FR,přímý let,1
OS783,Vídeň,Bukurešť,1:35,1590 ,LH,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1629 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1829 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1879 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1879 ,FR,přímý let,1
OS789,Vídeň,Bukurešť,1:30,1922 ,LH,přímý let,1
FR696,Vídeň,Bukurešť,1:40,2003 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2003 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2153 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2153 ,FR,přímý let,1
OS787,Vídeň,Bukurešť,1:35,2281 ,LH,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2328 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2428 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2428 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2528 ,FR,přímý let,1
FR696,Vídeň,Bukurešť,1:40,2553 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2553 ,FR,přímý let,1
OS783,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS783,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS783,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS783,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS787,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS787,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS789,Vídeň,Bukurešť,1:30,2653 ,OS,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2703 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2703 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2878 ,FR,přímý let,1
W43082,Brusel,Bukurešť,2:45,2950 ,W6,přímý let,1
OS789,Vídeň,Bukurešť,1:30,3002 ,OS,přímý let,1
OS789,Vídeň,Bukurešť,1:30,3002 ,OS,přímý let,1
OS781,Vídeň,Bukurešť,1:35,3002 ,OS,přímý let,1
OS783,Vídeň,Bukurešť,1:35,3002 ,OS,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3077 ,FR,přímý let,1
FR66,Brusel,Bukurešť,2:45,3227 ,FR,přímý let,1
JU175,Praha,Bukurešť,17:45,3497 ,JU,1 přestup,1
OS787,Vídeň,Bukurešť,1:35,3501 ,OS,přímý let,1
OS785,Vídeň,Bukurešť,1:35,3501 ,OS,přímý let,1
OS781,Vídeň,Bukurešť,1:35,3501 ,OS,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3502 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3502 ,FR,přímý let,1
OS783,Vídeň,Bukurešť,1:35,3562 ,LH,přímý let,1
OS787,Vídeň,Bukurešť,1:35,3562 ,LH,přímý let,1
OS787,Vídeň,Bukurešť,1:35,3562 ,LH,přímý let,1
FR696,Vídeň,Bukurešť,1:40,3627 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3627 ,FR,přímý let,1
JU311,Vídeň,Bukurešť,16:20,3704 ,JU,1 přestup,1
FR679,Vídeň,Bukurešť,1:40,3777 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3777 ,FR,přímý let,1
OS789,Vídeň,Bukurešť,1:30,3877 ,LH,přímý let,1
FR66,Brusel,Bukurešť,2:45,3927 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3952 ,FR,přímý let,1
LH6321,Vídeň,Bukurešť,4:45,4077 ,LH,1 přestup,1
LH6325,Vídeň,Bukurešť,4:05,4077 ,LH,1 přestup,1
JU311,Vídeň,Bukurešť,4:35,4078 ,JU,1 přestup,1
FR679,Vídeň,Bukurešť,1:40,1179 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1179 ,FR,přímý let,1
FR696,Vídeň,Bukurešť,1:40,1304 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1304 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1454 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1454 ,FR,přímý let,1
OS783,Vídeň,Bukurešť,1:35,1590 ,LH,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1629 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1829 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1879 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,1879 ,FR,přímý let,1
OS789,Vídeň,Bukurešť,1:30,1922 ,LH,přímý let,1
FR696,Vídeň,Bukurešť,1:40,2003 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2003 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2153 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2153 ,FR,přímý let,1
OS787,Vídeň,Bukurešť,1:35,2281 ,LH,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2328 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2428 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2428 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2528 ,FR,přímý let,1
FR696,Vídeň,Bukurešť,1:40,2553 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2553 ,FR,přímý let,1
OS783,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS783,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS783,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS783,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS787,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS787,Vídeň,Bukurešť,1:35,2653 ,OS,přímý let,1
OS789,Vídeň,Bukurešť,1:30,2653 ,OS,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2703 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2703 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,2878 ,FR,přímý let,1
W43082,Brusel,Bukurešť,2:45,2950 ,W6,přímý let,1
OS789,Vídeň,Bukurešť,1:30,3002 ,OS,přímý let,1
OS789,Vídeň,Bukurešť,1:30,3002 ,OS,přímý let,1
OS781,Vídeň,Bukurešť,1:35,3002 ,OS,přímý let,1
OS783,Vídeň,Bukurešť,1:35,3002 ,OS,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3077 ,FR,přímý let,1
FR66,Brusel,Bukurešť,2:45,3227 ,FR,přímý let,1
JU175,Praha,Bukurešť,17:45,3497 ,JU,1 přestup,1
OS787,Vídeň,Bukurešť,1:35,3501 ,OS,přímý let,1
OS785,Vídeň,Bukurešť,1:35,3501 ,OS,přímý let,1
OS781,Vídeň,Bukurešť,1:35,3501 ,OS,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3502 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3502 ,FR,přímý let,1
OS783,Vídeň,Bukurešť,1:35,3562 ,LH,přímý let,1
OS787,Vídeň,Bukurešť,1:35,3562 ,LH,přímý let,1
OS787,Vídeň,Bukurešť,1:35,3562 ,LH,přímý let,1
FR696,Vídeň,Bukurešť,1:40,3627 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3627 ,FR,přímý let,1
JU311,Vídeň,Bukurešť,16:20,3704 ,JU,1 přestup,1
FR679,Vídeň,Bukurešť,1:40,3777 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3777 ,FR,přímý let,1
OS789,Vídeň,Bukurešť,1:30,3877 ,LH,přímý let,1
FR66,Brusel,Bukurešť,2:45,3927 ,FR,přímý let,1
FR679,Vídeň,Bukurešť,1:40,3952 ,FR,přímý let,1
LH6321,Vídeň,Bukurešť,4:45,4077 ,LH,1 přestup,1
LH6325,Vídeň,Bukurešť,4:05,4077 ,LH,1 přestup,1
JU311,Vídeň,Bukurešť,4:35,4078 ,JU,1 přestup,1
FR699,Vídeň,Athény,2:10,2378 ,FR,přímý let,1
GQ761,Praha,Athény,2:25,2381 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,3047 ,GQ,přímý let,1
PC1022,Mnichov,Athény,16:10,3055 ,PC,1 přestup,1
PC1026,Mnichov,Athény,8:35,3055 ,PC,1 přestup,1
FR699,Vídeň,Athény,2:10,3077 ,FR,přímý let,1
GQ841,Vídeň,Athény,2:00,3187 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,3200 ,GQ,přímý let,1
FR699,Vídeň,Athény,2:10,3252 ,FR,přímý let,1
GQ761,Praha,Athény,2:25,3446 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,3446 ,GQ,přímý let,1
A3867,Praha,Athény,2:30,3459 ,A3,přímý let,1
FR45,Vídeň,Athény,2:10,3527 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,3627 ,FR,přímý let,1
A3803,Mnichov,Athény,2:30,3645 ,A3,přímý let,1
JU311,Vídeň,Athény,16:40,3704 ,JU,1 přestup,1
PC1020,Mnichov,Athény,5:50,3772 ,PC,1 přestup,1
GQ871,Mnichov,Athény,2:35,3777 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,3789 ,GQ,přímý let,1
FR45,Vídeň,Athény,2:10,3827 ,FR,přímý let,1
FR45,Vídeň,Athény,2:10,3827 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,3827 ,FR,přímý let,1
A3807,Mnichov,Athény,2:30,3927 ,A3,přímý let,1
FR699,Vídeň,Athény,2:10,3952 ,FR,přímý let,1
GQ841,Vídeň,Athény,2:00,3979 ,GQ,přímý let,1
GQ841,Vídeň,Athény,2:00,3979 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,4020 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4039 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4039 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4039 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4039 ,GQ,přímý let,1
H11060,Praha,Athény,2:25,4157 ,HR,přímý let,1
FR45,Vídeň,Athény,2:10,4226 ,FR,přímý let,1
JU175,Praha,Athény,6:15,4345 ,JU,1 přestup,1
A3867,Praha,Athény,2:30,4386 ,A3,přímý let,1
PC1022,Mnichov,Athény,16:10,4475 ,PC,1 přestup,1
PC1026,Mnichov,Athény,8:35,4475 ,PC,1 přestup,1
PC1024,Mnichov,Athény,11:55,4475 ,PC,1 přestup,1
A3803,Mnichov,Athény,2:30,4501 ,A3,přímý let,1
A3807,Mnichov,Athény,2:30,4501 ,A3,přímý let,1
A3803,Mnichov,Athény,2:30,4501 ,A3,přímý let,1
FR45,Vídeň,Athény,2:10,4501 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,4501 ,FR,přímý let,1
FR45,Vídeň,Athény,2:10,4526 ,FR,přímý let,1
FR45,Vídeň,Athény,2:10,4526 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,4526 ,FR,přímý let,1
H11060,Praha,Athény,2:25,4556 ,HR,přímý let,1
H11060,Praha,Athény,2:25,4556 ,HR,přímý let,1
OS801,Vídeň,Athény,2:10,4572 ,LH,přímý let,1
JU315,Vídeň,Athény,5:40,4577 ,JU,1 přestup,1
JU311,Vídeň,Athény,4:10,4577 ,JU,1 přestup,1
JU315,Vídeň,Athény,6:05,4577 ,JU,1 přestup,1
JU311,Vídeň,Athény,4:10,4577 ,JU,1 přestup,1
JU315,Vídeň,Athény,5:40,4577 ,JU,1 přestup,1
JU315,Vídeň,Athény,17:10,4577 ,JU,1 přestup,1
JU311,Vídeň,Athény,4:55,4577 ,JU,1 přestup,1
JU315,Vídeň,Athény,5:40,4577 ,JU,1 přestup,1
JU273,Brusel,Athény,5:35,4600 ,JU,1 přestup,1
GQ871,Mnichov,Athény,2:35,4638 ,GQ,přímý let,1
A3861,Vídeň,Athény,2:05,4665 ,A3,přímý let,1
FR699,Vídeň,Athény,2:10,4701 ,FR,přímý let,1
GQ841,Vídeň,Athény,2:00,4703 ,GQ,přímý let,1
PC1022,Mnichov,Athény,16:10,4719 ,PC,1 přestup,1
PC1026,Mnichov,Athény,8:35,4719 ,PC,1 přestup,1
FR45,Vídeň,Athény,2:10,4776 ,FR,přímý let,1
FR4747,Brusel,Athény,3:05,4901 ,FR,přímý let,1
LX1483,Praha,Athény,5:50,4932 ,LH,1 přestup,1
GQ871,Mnichov,Athény,2:35,4938 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4938 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4938 ,GQ,přímý let,1
PC302,Praha,Athény,26:35,4955 ,PC,1 přestup,1
PC304,Praha,Athény,20:25,4955 ,PC,1 přestup,1
LO530,Praha,Athény,4:50,4963 ,LO,1 přestup,1
LO526,Praha,Athény,16:20,4963 ,LO,1 přestup,1
LO526,Praha,Athény,16:20,4963 ,LO,1 přestup,1
LO524,Praha,Athény,7:05,4963 ,LO,1 přestup,1
OS712,Praha,Athény,4:15,4972 ,LH,1 přestup,1
A3867,Praha,Athény,2:30,5027 ,A3,přímý let,1
A3867,Praha,Athény,2:30,5027 ,A3,přímý let,1
A3867,Praha,Athény,2:30,5027 ,A3,přímý let,1
GQ841,Vídeň,Athény,2:00,5052 ,GQ,přímý let,1
GQ841,Vídeň,Athény,2:00,5052 ,GQ,přímý let,1
FR45,Vídeň,Athény,2:10,5076 ,FR,přímý let,1
FR45,Vídeň,Athény,2:10,5076 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,5076 ,FR,přímý let,1
JU171,Praha,Athény,17:10,5088 ,JU,1 přestup,1
VY1817,Mnichov,Athény,12:15,5090 ,VY,1 přestup,1
H11060,Praha,Athény,2:25,5130 ,HR,přímý let,1
H11064,Vídeň,Athény,2:00,5139 ,HR,přímý let,1
H11064,Vídeň,Athény,2:00,5139 ,HR,přímý let,1
FR699,Vídeň,Athény,2:10,2378 ,FR,přímý let,1
GQ761,Praha,Athény,2:25,2381 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,3047 ,GQ,přímý let,1
PC1022,Mnichov,Athény,16:10,3055 ,PC,1 přestup,1
PC1026,Mnichov,Athény,8:35,3055 ,PC,1 přestup,1
FR699,Vídeň,Athény,2:10,3077 ,FR,přímý let,1
GQ841,Vídeň,Athény,2:00,3187 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,3200 ,GQ,přímý let,1
FR699,Vídeň,Athény,2:10,3252 ,FR,přímý let,1
GQ761,Praha,Athény,2:25,3446 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,3446 ,GQ,přímý let,1
A3867,Praha,Athény,2:30,3459 ,A3,přímý let,1
FR45,Vídeň,Athény,2:10,3527 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,3627 ,FR,přímý let,1
A3803,Mnichov,Athény,2:30,3645 ,A3,přímý let,1
JU311,Vídeň,Athény,16:40,3704 ,JU,1 přestup,1
PC1020,Mnichov,Athény,5:50,3772 ,PC,1 přestup,1
GQ871,Mnichov,Athény,2:35,3777 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,3789 ,GQ,přímý let,1
FR45,Vídeň,Athény,2:10,3827 ,FR,přímý let,1
FR45,Vídeň,Athény,2:10,3827 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,3827 ,FR,přímý let,1
A3807,Mnichov,Athény,2:30,3927 ,A3,přímý let,1
FR699,Vídeň,Athény,2:10,3952 ,FR,přímý let,1
GQ841,Vídeň,Athény,2:00,3979 ,GQ,přímý let,1
GQ841,Vídeň,Athény,2:00,3979 ,GQ,přímý let,1
GQ761,Praha,Athény,2:25,4020 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4039 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4039 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4039 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4039 ,GQ,přímý let,1
H11060,Praha,Athény,2:25,4157 ,HR,přímý let,1
FR45,Vídeň,Athény,2:10,4226 ,FR,přímý let,1
JU175,Praha,Athény,6:15,4345 ,JU,1 přestup,1
A3867,Praha,Athény,2:30,4386 ,A3,přímý let,1
PC1022,Mnichov,Athény,16:10,4475 ,PC,1 přestup,1
PC1026,Mnichov,Athény,8:35,4475 ,PC,1 přestup,1
PC1024,Mnichov,Athény,11:55,4475 ,PC,1 přestup,1
A3803,Mnichov,Athény,2:30,4501 ,A3,přímý let,1
A3807,Mnichov,Athény,2:30,4501 ,A3,přímý let,1
A3803,Mnichov,Athény,2:30,4501 ,A3,přímý let,1
FR45,Vídeň,Athény,2:10,4501 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,4501 ,FR,přímý let,1
FR45,Vídeň,Athény,2:10,4526 ,FR,přímý let,1
FR45,Vídeň,Athény,2:10,4526 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,4526 ,FR,přímý let,1
H11060,Praha,Athény,2:25,4556 ,HR,přímý let,1
H11060,Praha,Athény,2:25,4556 ,HR,přímý let,1
OS801,Vídeň,Athény,2:10,4572 ,LH,přímý let,1
JU315,Vídeň,Athény,5:40,4577 ,JU,1 přestup,1
JU311,Vídeň,Athény,4:10,4577 ,JU,1 přestup,1
JU315,Vídeň,Athény,6:05,4577 ,JU,1 přestup,1
JU311,Vídeň,Athény,4:10,4577 ,JU,1 přestup,1
JU315,Vídeň,Athény,5:40,4577 ,JU,1 přestup,1
JU315,Vídeň,Athény,17:10,4577 ,JU,1 přestup,1
JU311,Vídeň,Athény,4:55,4577 ,JU,1 přestup,1
JU315,Vídeň,Athény,5:40,4577 ,JU,1 přestup,1
JU273,Brusel,Athény,5:35,4600 ,JU,1 přestup,1
GQ871,Mnichov,Athény,2:35,4638 ,GQ,přímý let,1
A3861,Vídeň,Athény,2:05,4665 ,A3,přímý let,1
FR699,Vídeň,Athény,2:10,4701 ,FR,přímý let,1
GQ841,Vídeň,Athény,2:00,4703 ,GQ,přímý let,1
PC1022,Mnichov,Athény,16:10,4719 ,PC,1 přestup,1
PC1026,Mnichov,Athény,8:35,4719 ,PC,1 přestup,1
FR45,Vídeň,Athény,2:10,4776 ,FR,přímý let,1
FR4747,Brusel,Athény,3:05,4901 ,FR,přímý let,1
LX1483,Praha,Athény,5:50,4932 ,LH,1 přestup,1
GQ871,Mnichov,Athény,2:35,4938 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4938 ,GQ,přímý let,1
GQ871,Mnichov,Athény,2:35,4938 ,GQ,přímý let,1
PC302,Praha,Athény,26:35,4955 ,PC,1 přestup,1
PC304,Praha,Athény,20:25,4955 ,PC,1 přestup,1
LO530,Praha,Athény,4:50,4963 ,LO,1 přestup,1
LO526,Praha,Athény,16:20,4963 ,LO,1 přestup,1
LO526,Praha,Athény,16:20,4963 ,LO,1 přestup,1
LO524,Praha,Athény,7:05,4963 ,LO,1 přestup,1
OS712,Praha,Athény,4:15,4972 ,LH,1 přestup,1
A3867,Praha,Athény,2:30,5027 ,A3,přímý let,1
A3867,Praha,Athény,2:30,5027 ,A3,přímý let,1
A3867,Praha,Athény,2:30,5027 ,A3,přímý let,1
GQ841,Vídeň,Athény,2:00,5052 ,GQ,přímý let,1
GQ841,Vídeň,Athény,2:00,5052 ,GQ,přímý let,1
FR45,Vídeň,Athény,2:10,5076 ,FR,přímý let,1
FR45,Vídeň,Athény,2:10,5076 ,FR,přímý let,1
FR699,Vídeň,Athény,2:10,5076 ,FR,přímý let,1
JU171,Praha,Athény,17:10,5088 ,JU,1 přestup,1
VY1817,Mnichov,Athény,12:15,5090 ,VY,1 přestup,1
H11060,Praha,Athény,2:25,5130 ,HR,přímý let,1
H11064,Vídeň,Athény,2:00,5139 ,HR,přímý let,1
H11064,Vídeň,Athény,2:00,5139 ,HR,přímý let,1
FR2854,Brusel,Bratislava,1:50,1354 ,FR,přímý let,1
FR2973,Brusel,Bratislava,1:50,1354 ,FR,přímý let,1
FR2854,Brusel,Bratislava,1:50,1354 ,FR,přímý let,1
FR2854,Brusel,Bratislava,1:50,1879 ,FR,přímý let,1
FR2854,Brusel,Bratislava,1:50,2053 ,FR,přímý let,1
FR2973,Brusel,Bratislava,1:50,2053 ,FR,přímý let,1
FR2854,Brusel,Bratislava,1:50,2053 ,FR,přímý let,1
FR2854,Brusel,Bratislava,1:50,2578 ,FR,přímý let,1
FR2854,Brusel,Bratislava,1:50,2603 ,FR,přímý let,1
